,Unnamed: 0,date,plant_id,tray,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants
68,13,Jun-20-2023,plant13,T01,625,779,0.802310654685494,143.982755064964,37,40,332,20,49.3645515441894,18.2551212310791,43.1875267028808,0.929110494441044,55
69,14,Jun-20-2023,plant14,T01,353,627.5,0.562549800796812,183.410656690597,30,34,199,12,34.918659210205,24.4791412353515,148.334213256835,0.713128585206441,55
70,15,Jun-20-2023,plant15,T01,597,787.5,0.758095238095238,139.396968603134,23,52,378,18,56.0209007263183,17.153995513916,169.736511230468,0.951964933270395,55
71,16,Jun-20-2023,plant16,T01,901,1150,0.783478260869565,177.781744599342,50,44,389,19,59.6386833190918,22.4223957061767,50.1770477294921,0.92663156407608,55
72,17,Jun-20-2023,plant17,T01,710,811.5,0.874922982131854,125.254833221435,35,35,294,16,41.5385513305664,23.9481468200683,41.7584800720214,0.817077241271318,55
73,18,Jun-20-2023,plant18,T01,589,744.5,0.791134989926125,132.568541526794,45,32,345,18,51.4180297851562,17.2557964324951,119.027420043945,0.942005239792424,55
74,19,Jun-20-2023,plant19,T01,862,1179.5,0.730818143281051,171.195958137512,49,39,353,14,48.3375511169433,30.7004642486572,120.994857788085,0.772408058217631,55
75,20,Jun-20-2023,plant20,T01,904,1162,0.777969018932874,162.367531061172,49,36,366,17,54.8114471435546,26.4019756317138,111.947845458984,0.876343189827527,55
76,21,Jun-20-2023,plant21,T01,1222,1481,0.825118163403106,216.267025828361,63,38,438,22,67.3284225463867,25.5610637664794,68.0644378662109,0.925131242353247,55
77,22,Jun-20-2023,plant22,T01,930,1131,0.822281167108753,170.367531061172,54,39,409,21,59.133689880371,21.9526119232177,59.1349945068359,0.928538158215701,55
78,23,Jun-20-2023,plant23,T01,838,1146,0.731239092495637,159.195958137512,38,44,362,14,48.7748985290527,31.7055187225341,140.804000854492,0.759902032367416,55
79,24,Jun-20-2023,plant24,T01,651,784.5,0.82982791586998,177.838937878608,50,23,355,15,53.0009384155273,17.4023685455322,76.7179336547851,0.944559338273839,55
80,25,Jun-20-2023,plant25,T01,624,817,0.763769889840881,139.882249832153,30,46,335,17,47.5473556518554,20.1087265014648,26.7522888183593,0.906167034311216,55
81,26,Jun-20-2023,plant26,T01,728,935.5,0.778193479422768,163.882249832153,45,31,302,17,42.3887748718261,25.6560821533203,72.0183486938476,0.79603049631948,55
82,27,Jun-20-2023,plant27,T01,633,928,0.682112068965517,234.853059768676,42,38,277,15,42.4027786254882,29.9533443450927,125.646034240722,0.707812350025923,55
83,28,Jun-20-2023,plant28,T01,664,865,0.767630057803468,140.811182141304,41,35,325,18,48.3409690856933,21.7524280548095,119.165245056152,0.893039062350553,55
84,29,Jun-20-2023,plant29,T01,715,927.5,0.77088948787062,140.568541526794,44,32,334,17,48.8153228759765,23.950626373291,66.3024749755859,0.871363802233288,55
85,30,Jun-20-2023,plant30,T01,728,1102.5,0.66031746031746,238.088834524154,36,47,303,17,43.9759178161621,34.5827026367187,169.477935791015,0.617716422334926,55
86,31,Jun-20-2023,plant31,T01,717,894,0.802013422818792,142.225395679473,26,55,370,18,57.6559219360351,18.6771488189697,13.5182390213012,0.946077095725378,55
87,32,Jun-20-2023,plant32,T01,1202,1615.5,0.744042092231507,200.367531061172,60,48,406,17,60.2745933532714,34.4729919433593,126.719093322753,0.820300766037703,55
88,33,Jun-20-2023,plant33,T01,705,951.5,0.740935365212821,162.468036293983,57,33,411,21,61.812931060791,18.1087703704834,114.408920288085,0.956124430036986,55
89,34,Jun-20-2023,plant34,T01,853,1079,0.790546802594995,163.438598752021,33,51,337,19,50.5672988891601,27.5742607116699,12.806282043457,0.838242085788869,55
90,35,Jun-20-2023,plant35,T01,913,1205,0.757676348547717,177.539103984832,58,34,416,15,59.6635856628418,24.6337738037109,69.9074935913086,0.910786401668954,55
91,36,Jun-20-2023,plant36,T01,417,535,0.779439252336448,117.497473835945,43,20,304,11,48.1123504638671,13.7727699279785,104.053398132324,0.958151179864798,55
