date,plant_id,tray_id,LFW_g,LDW_g,LA_mm2,actual_height_cm,area,perimeter,width,length,convex_hull,compactness,R_channel,G_channel,B_channel,H_channel,S_channel,V_channel,height_cm_max,height_cm_mode,e_minoraxis,e_majoraxis,e_eccentricity
07-Jul,5,3,115.34,6.08,1113.52,13.5,24310,673.6122596,209,176,26279.5,0.925055652,59,62,31,33,141,62,13.3,11.3,156.7108154,203.2325745,0.636724918
07-Jul,6,3,107.23,5.25,994.66,13.5,20813.5,638.2569212,199,166,23601,0.881890598,62,62,30,31,146,64,13.1,11.1,145.7514648,192.4998932,0.653240028
07-Jul,7,3,92.16,4.87,784.58,11.3,18179.5,619.369619,181,162,21045,0.863839392,68,68,37,30,129,69,9.2,8.4,147.6584625,165.3876495,0.45044886
07-Jul,8,3,106.36,5.95,968.61,13.2,18311,578.1564159,161,162,19885,0.920844858,63,67,39,34,121,67,10,9.1,152.447052,157.1105957,0.241837319
07-Jul,9,3,104.45,5.7,936.07,13.5,17889.5,576.6589421,157,156,19549.5,0.915087342,63,66,37,34,126,66,10.3,9.4,149.9888458,157.7982788,0.310693891
07-Jul,10,3,94.72,5.17,946.7,13.5,19981,606.6416972,179,161,21599.5,0.92506771,67,70,36,32,137,70,11.1,9.9,154.3884583,170.356369,0.422704425
07-Jul,11,3,106.42,5.52,1001.77,13.4,24745.5,735.0264732,249,162,27969,0.884747399,61,64,30,32,148,64,14.6,12.5,150.5780487,224.9022369,0.742788005
07-Jul,12,3,117,6.35,998.49,14,22636,685.9554055,212,168,25583,0.884806317,68,67,37,29,130,70,11.8,10.7,156.2048187,196.5635376,0.607030534
07-Jul,13,3,112.05,5.68,929.14,13,19592.5,598.600067,155,171,21226.5,0.923020752,65,67,36,32,131,67,10.7,8.4,159.9849854,163.443161,0.204618868
07-Jul,14,3,111.98,5.84,984.84,14.5,15964.5,537.2863587,151,164,17294.5,0.923096938,64,67,39,33,121,67,10.2,8,137.3065338,155.0976715,0.465037944
07-Jul,15,3,108.01,5.55,909.69,12.5,18750.5,594.600067,166,162,20266.5,0.925196753,63,66,35,33,134,66,10.4,8.7,154.111618,159.753891,0.263419183
07-Jul,16,3,113.18,5.77,1010.75,13,21155,610.984843,193,159,22779,0.928706265,64,65,31,32,147,66,11.6,10.6,148.9532013,184.323822,0.589036979
07-Jul,17,3,97.42,5.17,918.2,12,23577,682.2985513,207,180,26050.5,0.905049807,67,67,35,30,135,69,11.5,9.5,166.2263641,187.4955292,0.462610275
07-Jul,18,3,103.38,5.63,925.3,11.9,19514,604.9259679,170,171,21274.5,0.917248349,71,69,41,28,122,72,10.7,9,154.4280548,169.0308228,0.406594242
07-Jul,19,3,61.03,3.73,587.07,10.2,12572,469.1025932,143,125,13673.5,0.919442718,73,74,45,31,116,75,7.6,5.5,118.4591446,138.832077,0.521494144
07-Jul,20,3,110.34,5.5,1051.39,13.8,16970,535.7300098,153,155,18152,0.934883208,67,69,37,32,133,69,10.6,9,144.0877228,154.5228119,0.361250154
07-Jul,21,3,123.48,6.62,1036.3,12.5,22901,627.1269784,184,174,24334.5,0.941091865,63,65,33,31,139,65,12.3,11.8,162.7508698,184.2491302,0.468771232
07-Jul,22,3,97.67,5.28,920.02,13.5,21646,693.8132701,209,157,25080.5,0.863060944,65,67,33,33,144,68,13.5,10.6,149.7784424,200.4868469,0.664741264
07-Jul,23,3,72.4,4.57,714.36,11.3,19852.5,586.6833273,193,165,21288.5,0.932545741,67,67,35,30,135,68,10.4,8,136.0944061,190.875351,0.701162536
07-Jul,24,3,114.34,6.15,1046.18,12,23214.5,689.7127649,184,185,25662,0.904625516,69,68,37,30,131,70,10.9,8.4,164.5006409,185.3940735,0.461187728
07-Jul,25,3,105.94,5.47,906.85,12.7,19111.5,609.0264732,161,181,21200,0.901485849,69,70,40,31,121,71,10.2,8.7,152.321167,169.0927734,0.434204818
