date,plant_id,tray_id,LFW_g,LDW_g,LA_mm2,manual_height_cm,area,perimeter,width,length,convex_hull,compactness,R_channel,G_channel,B_channel,H_channel,S_channel,V_channel,height_cm_max,height_cm_mode,e_minoraxis,e_majoraxis,e_eccentricity
07-Jul,10,1,135.18,6.71,1450.53,16.2,28887.5,741.5361396,224,190,31213.5,0.925480962,61,65,28,33,155,65,15,13.5,175.5037537,213.385437,0.568804199
07-Jul,11,1,144.55,6.61,1552.82,15.5,36095,868.1808012,277,199,39053,0.924256779,60,64,24,33,169,64,17.4,15.8,180.6876068,259.578186,0.717962648
07-Jul,12,1,124.53,5.89,1328.49,15.4,27103.5,799.8792855,234,185,31175.5,0.869384613,65,67,29,32,155,68,13.9,13,168.2998352,220.1195068,0.644524189
07-Jul,13,1,134.5,6.21,1324.1,16.1,24254.5,734.2224313,210,178,27511.5,0.881613144,66,69,31,33,152,69,12.9,11.5,170.2718353,191.8955536,0.461163521
07-Jul,14,1,119.07,5.23,1334.82,15.3,21968.5,695.1097335,183,177,24332,0.902864541,62,68,33,36,143,68,10.1,8.3,163.6417084,174.6234131,0.349028603
07-Jul,15,1,116.38,5.96,1236.41,15.5,22325.5,703.2518688,214,178,25713,0.868257302,61,67,31,36,151,67,12.5,11.2,160.9555054,187.910202,0.516055018
07-Jul,16,1,142.13,6.41,1478.7,16.5,31231.5,823.3940042,240,194,35023.5,0.891729839,63,67,26,33,164,67,15.4,14.5,185.0544891,226.9443054,0.57887249
07-Jul,17,1,108.48,5.52,1138.52,14.7,28238.5,813.3107439,225,172,31857,0.886414289,63,65,31,32,144,66,14.1,12.7,168.9400177,227.976181,0.671458228
07-Jul,19,1,140.24,6.73,1461.96,15.6,25556,738.523947,190,202,28078,0.910178788,64,69,32,34,147,69,13.5,11.5,178.2996368,187.7129974,0.312698675
07-Jul,20,1,102.93,5.24,1149.81,14.5,21227.5,661.7127649,184,181,23642,0.89787243,66,72,36,35,139,72,10.6,9.1,165.6647491,168.2057648,0.173161694
07-Jul,21,1,128.89,6.33,1284.9,16.5,27669,766.3818116,203,195,31524,0.877712219,65,70,30,33,159,70,12.9,10.8,184.4313812,204.8046112,0.434807182
07-Jul,22,1,136.72,6.61,1521.47,17,32714,914.523947,292,191,38379.5,0.852382131,63,67,25,33,168,67,16.4,14.7,172.7981262,259.8529053,0.746857254
07-Jul,24,1,121.19,6.02,1371.53,16,26196,707.6955199,211,200,28768.5,0.910579279,70,72,33,31,150,72,14.5,11.7,185.025528,189.1768799,0.208343524
07-Jul,25,1,139.37,5.84,1388.1,16.1,27607.5,766.9675981,197,199,30629.5,0.901336946,66,70,33,33,146,70,13.3,12.2,184.9177856,196.8738556,0.343177957
07-Jul,26,1,124.27,6.55,1333.33,15,25442.5,726.6244522,209,199,28945.5,0.878979461,70,73,32,33,153,73,14,11.4,173.806488,196.8997498,0.469907549
07-Jul,27,1,122.13,6.05,1275.84,15.5,31125,970.0041759,225,215,36692.5,0.848265994,65,69,26,33,166,69,14.2,10.8,190.15065,221.0380554,0.509852146
07-Jul,1,2,119.1,6.25,1024.79,12.6,23004.5,683.5117544,197,178,25773,0.892581384,67,66,36,29,129,69,12.2,9.9,161.8673401,188.3131256,0.511026712
07-Jul,2,2,117.52,5.48,1089.28,12.8,20028,608.4995618,178,166,21893.5,0.914792062,67,67,37,30,127,69,11.5,10.8,152.0975494,171.4883423,0.461910644
07-Jul,3,2,121.26,6.21,1053.23,13.6,20920,620.7249575,172,180,22607.5,0.925356629,65,67,36,32,131,67,10.7,10.2,164.6649323,168.9585266,0.2240055
07-Jul,4,2,114.7,5.53,1067.94,13,20729.5,630.5411919,186,173,22879.5,0.906029415,64,65,34,32,135,66,11.6,10.5,156.0869446,178.2204437,0.482659108
07-Jul,5,2,114.14,5.66,991.88,13.3,25033,711.8376553,200,188,27248.5,0.918692772,66,67,34,31,137,68,13.2,11.2,170.4996338,192.7007446,0.465990546
07-Jul,6,2,85.02,4.52,789.47,11.5,20536,646.984843,206,153,22661.5,0.906206562,74,72,41,29,128,75,10.9,9.5,147.3968201,185.0620422,0.604674805
07-Jul,7,2,119.87,5.93,991.79,12.5,20305.5,636.3401815,190,169,23085,0.879597141,73,70,40,28,127,74,11.5,10.6,152.7093353,182.4683075,0.547342336
07-Jul,8,2,111.06,5.43,1044.59,13,18633.5,563.369619,170,158,19720.5,0.944879694,68,69,40,31,124,70,11.2,9,150.313797,161.5755615,0.366798732
07-Jul,9,2,119.7,5.35,877.44,10.6,20185.5,610.8843378,163,168,21847.5,0.923927223,65,67,39,32,117,67,9.1,8,158.7214813,168.6807098,0.33852303
07-Jul,10,2,108.06,4.94,980.85,13.3,20881.5,627.7127649,183,165,22874,0.912892367,67,68,34,31,140,69,11.4,10.4,154.5892181,177.2011719,0.488803555
07-Jul,11,2,111.94,5.58,960.89,13.8,24779.5,688.8843378,198,167,26919,0.920520822,68,68,34,30,144,70,13.6,10.6,161.4478302,201.2426453,0.596982092
07-Jul,12,2,96.6,5.14,955.47,12.6,20946.5,594.1980461,189,160,22010.5,0.951659435,74,71,39,27,134,75,11,9.8,151.4306641,179.063446,0.533687744
07-Jul,13,2,109.83,5.96,1023.2,13.1,19808.5,589.7716399,180,164,21268.5,0.93135388,73,72,38,29,136,74,10.9,9.8,148.0170898,175.6551819,0.538450533
07-Jul,14,2,80.4,4.3,800.07,12.8,15923,521.3868639,149,156,17032,0.934887271,71,72,40,31,129,73,7.7,6.5,139.6582642,149.5558624,0.357743063
07-Jul,15,2,99.93,5.32,842.99,12.6,19992,623.6122596,174,171,21670,0.922565759,67,69,37,32,131,69,9.5,8.9,157.3853455,168.578598,0.358311292
07-Jul,16,2,115.02,5.74,980.2,12,22518,682.0975409,197,175,25157.5,0.89508099,69,69,34,30,142,71,11.3,10.2,163.0468903,185.595993,0.477734318
07-Jul,17,2,85.16,4.61,755.07,10.7,22016.5,681.9970356,201,168,24926,0.883274492,71,69,36,29,140,72,11.1,8.2,157.1997223,187.0692291,0.542076522
07-Jul,18,2,107.84,5.49,1029.75,14.2,21634.5,648.3401815,201,168,24240,0.892512376,74,72,35,28,147,75,11.8,10,154.6327667,187.1273651,0.563156348
07-Jul,19,2,94.57,5.29,761.97,9.2,19416,587.8721452,163,174,20954,0.926601126,75,73,45,29,112,76,8.2,6.5,153.0236816,166.9470367,0.399805121
07-Jul,20,2,136.49,6.93,1226.84,14.5,21795.5,649.9970356,181,179,24257,0.898524137,66,68,34,31,140,68,12.1,9.3,162.9287109,178.4151459,0.407511672
07-Jul,21,2,109.66,5.84,937.6,11.5,22767.5,668.3990566,197,169,25437,0.895054448,70,70,35,30,142,72,10.4,8.3,161.3872223,189.4681396,0.523882045
07-Jul,22,2,57.92,3.17,604.2,11.2,17231.5,615.7716399,201,144,20044.5,0.859662251,75,75,33,31,154,77,11.6,9.6,132.2013855,178.3800049,0.671370131
07-Jul,23,2,108.72,5.57,936.73,13.7,24076.5,688.8254627,218,175,26597.5,0.905216656,70,67,34,28,144,71,12.6,10.2,162.2339325,197.5829163,0.570794557
07-Jul,24,2,94.28,5.21,864.59,12.5,20060,613.2691138,166,172,21638.5,0.927051321,76,73,39,28,135,76,11.2,10.3,151.4104614,176.3542633,0.512715524
07-Jul,25,2,111.5,5.82,912.26,12.5,22115,619.8132701,164,193,23471,0.942226577,76,74,40,28,130,76,11.1,8.7,157.5454559,184.2087097,0.518207055
07-Jul,26,2,102.85,5.48,951.28,12.4,24206.5,643.9970356,186,195,25827.5,0.937237441,75,73,35,29,148,76,10,7.8,165.6542664,192.5971375,0.51011261
07-Jul,27,2,114.5,6.1,1028.16,13.7,25869.5,685.7960252,221,182,27822.5,0.929805014,71,70,34,29,147,73,14.6,11.3,159.4614868,214.8454132,0.670161849
07-Jul,1,3,109.69,5.98,968.16,12.6,23163,651.2102387,199,187,24509.5,0.945062119,63,64,32,31,141,65,12.3,11.5,158.9976501,193.2449646,0.568363294
07-Jul,2,3,92.52,5.12,906.72,11.9,17754,590.0142806,162,154,19757,0.898618211,65,67,40,32,116,68,10.3,9.1,141.8362885,168.220993,0.537671347
07-Jul,3,3,74.66,4.2,685.55,12.8,13601,517.2447286,156,134,15173.5,0.896365374,62,67,39,36,122,67,10.4,9.5,125.5801773,145.6481476,0.506540623
07-Jul,4,3,99.88,5.4,920.43,11.5,19305,572.9015827,161,173,20597.5,0.937249666,63,65,37,33,124,66,10.6,9.4,151.7722626,165.8976135,0.403782508
07-Jul,5,3,115.34,6.08,1113.52,13.5,24310,673.6122596,209,176,26279.5,0.925055652,59,62,31,33,141,62,13.3,11.3,156.7108154,203.2325745,0.636724918
07-Jul,6,3,107.23,5.25,994.66,13.5,20813.5,638.2569212,199,166,23601,0.881890598,62,62,30,31,146,64,13.1,11.1,145.7514648,192.4998932,0.653240028
07-Jul,7,3,92.16,4.87,784.58,11.3,18179.5,619.369619,181,162,21045,0.863839392,68,68,37,30,129,69,9.2,8.4,147.6584625,165.3876495,0.45044886
07-Jul,8,3,106.36,5.95,968.61,13.2,18311,578.1564159,161,162,19885,0.920844858,63,67,39,34,121,67,10,9.1,152.447052,157.1105957,0.241837319
07-Jul,9,3,104.45,5.7,936.07,13.5,17889.5,576.6589421,157,156,19549.5,0.915087342,63,66,37,34,126,66,10.3,9.4,149.9888458,157.7982788,0.310693891
07-Jul,10,3,94.72,5.17,946.7,13.5,19981,606.6416972,179,161,21599.5,0.92506771,67,70,36,32,137,70,11.1,9.9,154.3884583,170.356369,0.422704425
07-Jul,11,3,106.42,5.52,1001.77,13.4,24745.5,735.0264732,249,162,27969,0.884747399,61,64,30,32,148,64,14.6,12.5,150.5780487,224.9022369,0.742788005
07-Jul,12,3,117,6.35,998.49,14,22636,685.9554055,212,168,25583,0.884806317,68,67,37,29,130,70,11.8,10.7,156.2048187,196.5635376,0.607030534
07-Jul,13,3,112.05,5.68,929.14,13,19592.5,598.600067,155,171,21226.5,0.923020752,65,67,36,32,131,67,10.7,8.4,159.9849854,163.443161,0.204618868
07-Jul,14,3,111.98,5.84,984.84,14.5,15964.5,537.2863587,151,164,17294.5,0.923096938,64,67,39,33,121,67,10.2,8,137.3065338,155.0976715,0.465037944
07-Jul,15,3,108.01,5.55,909.69,12.5,18750.5,594.600067,166,162,20266.5,0.925196753,63,66,35,33,134,66,10.4,8.7,154.111618,159.753891,0.263419183
07-Jul,16,3,113.18,5.77,1010.75,13,21155,610.984843,193,159,22779,0.928706265,64,65,31,32,147,66,11.6,10.6,148.9532013,184.323822,0.589036979
07-Jul,17,3,97.42,5.17,918.2,12,23577,682.2985513,207,180,26050.5,0.905049807,67,67,35,30,135,69,11.5,9.5,166.2263641,187.4955292,0.462610275
07-Jul,18,3,103.38,5.63,925.3,11.9,19514,604.9259679,170,171,21274.5,0.917248349,71,69,41,28,122,72,10.7,9,154.4280548,169.0308228,0.406594242
07-Jul,19,3,61.03,3.73,587.07,10.2,12572,469.1025932,143,125,13673.5,0.919442718,73,74,45,31,116,75,7.6,5.5,118.4591446,138.832077,0.521494144
07-Jul,20,3,110.34,5.5,1051.39,13.8,16970,535.7300098,153,155,18152,0.934883208,67,69,37,32,133,69,10.6,9,144.0877228,154.5228119,0.361250154
07-Jul,21,3,123.48,6.62,1036.3,12.5,22901,627.1269784,184,174,24334.5,0.941091865,63,65,33,31,139,65,12.3,11.8,162.7508698,184.2491302,0.468771232
